Start Time,2_(Acoustic Grand),3_(Acoustic Grand),4_(Acoustic Grand),5_(Acoustic Grand)
0,1,0,0,0
8.135,0,0,1,0
9.152,0,1,0,0
10.169,0,0,1,0
11.186,0,1,0,0
12.203,1,0,0,0
17.288,0,1,0,0
18.305,1,0,0,0
19.322,0,0,1,0
20.338,1,0,0,0
21.355,0,0,0,1
22.372,1,0,0,0
25.423,0,0,0,1
26.44,1,0,0,0
34.83,0,0,1,0
35.847,1,0,0,0
36.864,0,0,0,1
37.881,0,1,0,0
38.898,1,0,0,0
39.915,0,1,0,0
42.966,1,0,0,0
44.999,0,1,0,0
46.16,1,0,0,0
48.5,0,1,0,0
51.101,1,0,0,0
53.135,0,1,0,0
54.152,1,0,0,0
56.186,0,1,0,0
58.22,1,0,0,0
65.338,0,1,0,0
67.372,1,0,0,0
75.508,0,1,0,0
77.542,1,0,0,0
79.576,0,0,1,0
82.627,1,0,0,0
83.643,0,0,0,1
86.694,0,1,0,0
91.779,1,0,0,0
98.898,0,0,1,0
100.932,0,0,0,1
102.965,0,0,1,0
103.982,1,0,0,0
108.5,0,0,1,0
110.84,1,0,0,0
111.101,0,1,0,0
112.118,1,0,0,0
113.135,0,1,0,0
114.152,1,0,0,0
117.203,0,0,1,0
119.237,1,0,0,0
120.254,0,0,1,0
121.271,0,1,0,0
123.304,0,0,0,1
124.321,0,1,0,0
126.355,1,0,0,0
127.372,0,0,1,0
128.389,1,0,0,0
129.406,0,0,0,1
131.44,1,0,0,0
134.491,0,1,0,0
144.66,1,0,0,0
150.762,0,0,1,0
158.898,1,0,0,0
161.948,0,0,1,0
162.965,1,0,0,0
164.999,0,0,0,1
166.16,0,1,0,0
167.33,0,0,0,1
168.5,0,1,0,0
169.67,1,0,0,0
170.84,0,1,0,0
171.101,1,0,0,0
172.118,0,1,0,0
174.152,1,0,0,0
175.169,0,1,0,0
176.186,1,0,0,0
177.203,0,0,1,0
178.22,0,1,0,0
181.27,1,0,0,0
182.287,0,0,1,0
183.304,0,1,0,0
185.338,1,0,0,0
186.355,0,0,1,0
187.372,0,1,0,0
199.576,1,0,0,0
205.677,0,0,0,1
212.796,0,0,1,0
213.813,0,0,0,1
214.83,0,0,1,0
215.847,0,0,0,1
216.864,0,0,1,0
220.931,0,1,0,0
222.965,0,0,1,0
223.982,1,0,0,0
224.999,0,1,0,0
228.5,1,0,0,0
237.203,0,1,0,0
238.22,0,0,1,0
241.27,1,0,0,0
257.796,0,0,1,0
258.813,1,0,0,0
259.83,0,0,0,1
260.847,1,0,0,0
272.796,0,0,0,1
273.813,0,0,1,0
274.83,0,0,0,1
275.847,0,1,0,0
276.864,1,0,0,0
277.881,0,1,0,0
282.965,1,0,0,0
284.999,0,1,0,0
286.16,1,0,0,0
288.5,0,1,0,0
291.101,1,0,0,0
293.135,0,1,0,0
294.152,1,0,0,0
296.186,0,1,0,0
298.22,1,0,0,0
305.338,0,1,0,0
307.372,1,0,0,0
315.508,0,1,0,0
317.542,1,0,0,0
319.575,0,0,1,0
322.626,1,0,0,0
323.643,0,0,0,1
326.694,0,1,0,0
331.779,1,0,0,0
334.83,0,0,0,1
336.864,0,0,1,0
337.88,0,1,0,0
349.67,1,0,0,0
350.84,0,0,1,0
354.152,0,0,0,1
355.169,1,0,0,0
358.219,0,0,1,0
359.236,0,0,0,1
360.253,0,0,1,0
361.27,0,0,0,1
362.287,1,0,0,0
365.338,0,1,0,0
366.355,0,0,1,0
367.372,0,1,0,0
368.389,1,0,0,0
373.474,0,1,0,0
380.592,0,0,1,0
381.609,0,1,0,0
382.626,0,0,1,0
383.643,0,1,0,0
387.457,1,0,0,0
389.363,Ending,,,
